bet,Paper Name:,Reviewer Name,DOI (of paper),"Link to artefact repository (Github, Zenodo, Figshare etc)",Year Published:,Venue,Institution (if applicable),Research Area:,Which (if any) ACM Badges does the report have?,Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?,F1. Software is assigned a globally unique and persistent identifier (DOI),"If F1 is met, please input the DOI of the latest version",F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,F1.2. Different versions of the software are assigned distinct identifiers.,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Has the software artefact been mentioned or cited in the paper for ease of findability?,Please input any links to GitHub if available,Any additional notes for F?,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),"A1.1. The protocol is open, free, and universally implementable.","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.","A2. Metadata are accessible, even when the software is no longer available.",A1 follow-up: Which of these protocols are available to download the software?,Does the software require the use of any 3rd party tools in order to retrieve it?,Does the software metadata (i.e. README) describe how to retrieve the artefact?,Is the software source code available?,Has the software been deployed onto a web server (if feasible)?,Any additional notes for A?,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Has sufficient effort been made to allow integration via APIs or interfaces with other tools?,Any additional notes for I?,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",(R1) Please list the software attributes in the repository.,R1.1. Software is given a clear and accessible license.,R1.2. Software is associated with detailed provenance (version history).,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks","R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",R2 follow-up: Is there a file / project manager tool to help with the installation of other software / libraries?,Does the software require the use of any 3rd party tools in order to execute it?,Is the software itself documented well? Which of the following code readability standards have been implemented?,Have any containerisation engines / orchestrators been employed in the reuse of the software?,Is the software sufficiently modular?,"Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?",Any additional notes for R?,Anything else to note?,How long did this form take to complete?
19/03/2026 16:49:35,Critical Variable State-Aware Directed Greybox Fuzzing,William,10.1109/ICSE55347.2025.00219,,2025,ICSE,Institute of Information Engineering at Chinese Academy of Sciences,Testing and QA,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,,06:00:00
20/03/2026 09:20:00,LWDIFF: an LLM-Assisted Differential Testing Framework for Webassembly Runtimes,William,10.1109/ICSE55347.2025.00233,,2025,ICSE,The Hong Kong Polytechnic University,Testing and qa,,Yes,No,,Yes,Yes,No,No,No,Yes,,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,Yes,"readme.md,readme.md,tester.yml",No,Yes,Yes,Yes,tester.yml,No,Docstrings,Docker,Yes,Yes,,,08:10:00
20/03/2026 09:55:14,"No Harness, No Problem: Oracle-guided Harnessing for Auto-generating C API Fuzzing Harnesses",William,10.1109/ICSE55347.2025.00239,https://zenodo.org/records/14727592,2025,ICSE, University of Utah,Testing and QA,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14727592,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Not necessary,Software is currently available,"Download, restapi",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,No,"readme.md,",Yes,Yes,Yes,No,,Yes,"Docstrings, Inline comments",Docker,Yes,Yes,,,12:54:00
20/03/2026 11:50:01,RediI: Test Infrastructure to Enable Deterministic Reproduction of Failures for Distributed Systems,William,10.1109/ICSE55347.2025.00244,https://github.com/SSCT-Lab/RediI,2025,ICSE,Nanjing University,Testing and QA,,Yes,No,,No,Yes,No,No,No,Yes,,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,,Yes,"readme.md, readme.md",Yes,Yes,Yes,Yes,pom.xml (Maven / Java),No,"Docstrings, Inline comments, file headers",Docker,Yes,Yes,,,13:00:00
20/03/2026 12:01:35,Automated Generation of Accessibility Test Reports from Recorded User Transcripts,William,10.1109/ICSE55347.2025.00043,,2025,ICSE,CodeScene,Testing and QA,,Yes,No,,Yes,Yes,No,No,No,Yes,https://github.com/mahantaf/Reca11,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,"No, but no clear constraints not to",,Yes,No: no datasets used,No but no clear constraints not to,,No,readme.md,No,No,No: program uses external libraries but are not referenced appropriately,No,,No,,,Yes,Yes,,"poor repository, not ideal in terms of layout, documentation or understandability",11:34:00
20/03/2026 12:13:55,Fuzzing MLIR Compilers with Custom Mutation Synthesis,William,10.1109/ICSE55347.2025.00037,https://github.com/UCLA-SEAL/SynthFuzz,,ICSE, UCLA,Testing and Security,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.6084/m9.figshare.25458925,Yes,Yes,No,No,No,Yes,https://github.com/UCLA-SEAL/SynthFuzz?tab=readme-ov-file,Fighsare only findable through the git,Yes,Yes,Not necessary,Software is currently available,"Download, restapi",No,No,Yes,Infeasable,,Yes,No: no datasets used,No but no clear constraints not to,,No,readme.md,Yes,Yes,Yes,No,pyproject.toml,No,Inline comments,Docker,Yes,Yes,,,12:00:00
20/03/2026 12:19:21,Insvdf: Interface-State-Aware Virtual Device Fuzzing,William,10.1109/ICSE55347.2025.00190,https://github.com/Chan9Yan9/InSVDF,2025,ICSE,National University of Defense Technology,Testing and Security,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,,06:53:00
20/03/2026 12:29:43,Reduce Dependence for Sound Concurrency Bug Prediction,William,10.1109/ICSE55347.2025.00149,,2025,ICSE,"State Key Laboratory of Computer Science,Institute of Software,Chinese Academy of Sciences,China,",Testing and Security,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,,07:00:00
20/03/2026 16:20:20,Towards More Trustworthy Deep Code Models by Enabling Out-of-Distribution Detection,William,10.1109/ICSE55347.2025.00177,https://github.com/yanyanfu/COOD,2025,ICSE,William & Mary,SE for AI,,Yes,No,,Yes,Yes,No,No,No,Yes,,Small scripts attached to the dataset so taking it as sufficiently modular,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,"No, but no clear constraints not to",,Yes,No: no datasets used,No: infeasible,,No,Readme.md,No,No,Yes,No,"requirements.txt (pip), config_java.yml,config_python.yml",No,,,Yes,Yes,version history only updated readme,,07:20:00
20/03/2026 16:28:56,FairSense: Long-Term Fairness Analysis of ML-Enabled Systems,William,10.1109/ICSE55347.2025.00159,"https://github.com/cmu-soda/FairSense,https://zenodo.org/records/14853228",2025,ICSE,"Carnegie Mellon University,",SE for AI,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14853228,Yes,Yes,Yes,Yes,Yes,Yes,,"zenodo not referenced in paper, harder to find than it needed to be",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download, restapi",No,No,Yes,"No, but no clear constraints not to",,Yes,Yes,No: infeasible,,Yes,"readme.md,supplementalmeterial.pdf",Yes,No,Yes,No,"requirements.txt (pip), r_librarys.txt",Yes,Docstrings,,Yes,Yes,,,06:13:00
20/03/2026 16:51:43,A Little Goes a Long Way: Tuning Configuration Selection for Continuous Kernel Fuzzing,William,10.1109/ICSE55347.2025.00042,,2025,ICSE,University of Central Florida,NIER,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.13332542,No,Yes,Yes,Yes,Yes,Yes,https://zenodo.org/records/13332542,,Yes,Yes,Not necessary,Software is currently available,"Download, restapi",No,Artefact Unavailable,Yes,"No, but no clear constraints not to",,Artefact Unavailable,No: no datasets used,No: infeasible,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,"Might need to re-review, artifact is 44gb and don't have space on my laptop, so have had to vote artifact not availible because zenodo wont let me preview files",12:42:00
20/03/2026 17:05:07,Exploring the Robustness of the Effect of EVO on Intention Valuation Through Replication,William,10.1109/ICSE55347.2025.00143,,2025,ICSE,University of Massachusetts Amhers,NIER,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,doi.org/10.35482/csc.002.2023,Yes,No,No,Yes,No,No,https://scholarworks.smith.edu/csc_facpubs/343/,"Cited in the paper but not on a popular site, readme cites the doi (metadata)",No,No,Not necessary,Software is currently available,Download,No,No,Yes,"No, but no clear constraints not to",downloading is not a standardised communications protocol,Yes,No: no datasets used,No: infeasible,,No,readme.md,Yes,Yes,Yes,No,,No,Inline comments,,Yes,Yes,,"A messy package, not the best for 3 badge submissions. poorly laid out and documented",13:18:00
23/03/2026 12:34:23,Unavoidable Boundary Conditions: a Control Perspective on Goal Conflicts,William,10.1109/ICSE55347.2025.00031,,2025,ICSE,Universidad de Buenos Aires / Imperial College,NIER,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:12:00
23/03/2026 12:37:55,User Personas Improve Social Sustainability by Encouraging Software Developers to Deprioritize Antisocial Features,William,10.1109/ICSE55347.2025.00135,https://doi-org.sheffield.idm.oclc.org/10.5281/zenodo.l0827123),2025,ICSE,Dalhousie University,NIER,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,No,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,"paper attaches a datastest and analysis scripts, however the link in the paper does not point to an existing site. https://doi-org.sheffield.idm.oclc.org/10.5281/zenodo.l0827123",03:25:00
23/03/2026 12:51:25,Neurosymbolic Modular Refinement Type Inference,William,10.1109/ICSE55347.2025.00090,,,ICSE,"UC San Diego,",AI for analysis,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,"Should be an artifact ""XO""  but it is not availible",13:19:00
23/03/2026 13:05:41,An Empirical Study on Automatically Detecting AI-Generated Source Code: How Far are We?,William,10.1109/ICSE55347.2025.00064,,2025,ICSE,"University of California, Irvine",Ai for analysis,,Yes,No,,Yes,Yes,No,No,No,No,https://github.com/mahantaf/AI-Detector,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,"No, but no clear constraints not to",,Yes,No: no datasets used,No but no clear constraints not to,,No,readme.md,No,Yes,No: program uses external libraries but are not referenced appropriately,No,,Yes,Inline comments,,No,Yes,,poor example,14:11:00
23/03/2026 13:11:49,Planning a Large Language Model for Static Detection of Runtime Errors in Code Snippets,William,10.1109/ICSE55347.2025.00102,,2025,ICSE,University of Texas at Dallas,Ai for Analysis,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14922083,Yes,Yes,Yes,Yes,Yes,Yes,"https://zenodo.org/records/14922083,https://github.com/smitpatel910/orca",,Yes,Yes,Not necessary,Software is currently available,"Download, restapi",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,Yes,"environment.yml,readme.md",Yes,Yes,Yes,Yes,environment.yml,Yes,"Docstrings, Inline comments",,Yes,Yes,,,05:45:00
23/03/2026 13:28:49,LLMs Meet Library Evolution: Evaluating Deprecated API Usage in LLM-Based Code Completion,William,10.1109/ICSE55347.2025.00245,"https://anonymous.4open.science/r/Replication-Deprecated-API-Usage-in-LLM-based-Code-Completion/README.md,https://figshare.com/s/e8de860d8fc2ec0541d2",2025,ICSE,Nanyang Technological University,Ai for Analysis,,Yes,No,,Yes,No,No,No,No,Yes,,,Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,"No, but no clear constraints not to",,Yes,No: no datasets used,No: infeasible,,No,readme,Yes,No,Yes,No,requirements.txt (pip),Yes,Inline comments,,Yes,Yes,,"there is a figshare but only with part of the replication package not the source code, however is an anonymous github with the full package",14:37:00
23/03/2026 14:02:15,Knowledge-Enhanced Program Repair for Data Science Code,William,10.1109/ICSE55347.2025.00246,https://github.com/ShuyinOuyang/DSrepair,2025,ICSE,King's College London,Ai for analysis,,Yes,No,,Yes,Yes,No,No,No,Yes,,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,,No,readme.md,Yes,No,Yes,No,,No,Inline comments,,Yes,Yes,,,16:12:00
23/03/2026 14:42:57,ADAMAS: Adaptive Domain-Aware Performance Anomaly Detection in Cloud Service Systems,William,10.1109/ICSE55347.2025.00084,https://github.com/WenweiGu/ADAMAS,2025,ICSE,The Chinese University of Hong Kong,Ai for program comprehension,,Yes,No,,No,Yes,No,No,No,No,,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,No: infeasible,data stet snot referenced properly as the whole dataset is not availible,No,readme.md,No,No,Yes,No,requirements.txt (pip),No,Inline comments,,Yes,No,,,08:17:00
23/03/2026 14:52:21,LibreLog: Accurate and Efficient Unsupervised Log Parsing Using Open-Source Large Language Models,William,10.1109/ICSE55347.2025.00103,https://github.com/zeyang919/LibreLog,2024,ICSE,Concordia University,Ai for program comprehension,,Yes,No,,Yes,Yes,No,No,No,Yes,,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,Yes,No: infeasible,,Yes,readme.md,No,No,Yes,No,requirements.txt (pip),Yes,,,Yes,Yes,,,06:05:00
23/03/2026 14:56:55,Model Editing for LLMs4Code: How Far are we?,William,10.1109/ICSE55347.2025.00049,https://github.com/xpq-tech/code-llmedit,2025,ISCE,National University of Defense Technology,Ai for program comprehension,,Yes,No,,Yes,Yes,No,No,No,No,https://github.com/xpq-tech/code-llmedit,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,,No,readme.md,Yes,No,Yes,No,,Yes,Inline comments,,Yes,Yes,,,04:44:00
23/03/2026 15:06:42,"Software Model Evolution with Large Language Models: Experiments on Simulated, Public, and Industrial Datasets",William,10.1109/ICSE55347.2025.00112,https://github.com/se-sic/icse_model_completion,2025,ICSE,Saarland University,Ai for program comprehension,,Yes,No,,Yes,Yes,No,No,No,No,,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,No,Yes,No: infeasible,,No,readme.md,No,No,Yes,No,requirements.txt (pip),Yes,"Docstrings, Inline comments",,Yes,Yes,,,09:21:00
20/03/2026 11:36:43,Parametric Falsification of Many Probabilistic Requirements Under Flakiness,William ,10.1109/ICSE55347.2025.00237,https://github.com/Uplink036/ADAS-PRFalsification,2025,ICSE,Politecnico di Milano,Testing Q and A,,Yes,No,,Yes,Yes,No,No,No,No,,hard to find,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,Yes,"readme.md,readme.md",Yes,No,Yes,Yes,pyproject.toml,Yes,"Docstrings, Inline comments, custom llm writted tests",Docker,Yes,Yes,high quality reproduction package,,08:13:00
25/03/2026 10:21:32,DesignRepair: Dual-Stream Design Guideline-Aware Frontend Repair with Large Language Models,Freddie,10.1109/ICSE55347.2025.00109,https://github.com/UGAIForge/DesignRepair,2025,ICSE,"University of New South Wales, CSIRO, Technical University of Munich, Australian National University, The Hong Kong University of Science and Technology",Frontend development,,Yes,No,,No,No,No,No,No,No,https://github.com/UGAIForge/DesignRepair,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,"Although the focus of the project is about web servers, the idea is that it's used to fix your own website. I would say infeasible for deployment because cross-referencing websites is a bit tricky and trivial",Yes,Yes,Yes,"I2: datasets mentioned in README and included in repo
Works with just about any website (that is yours)",Yes,Pretty detailed and clear README,No,No,No: program uses external libraries but are not referenced appropriately,Yes,,Yes,Inline comments,,Yes,No,"R1.1. just a lot of README updates
R2: no requirements file
Needs OpenAI API key
Probably not able to reproduce the results as they conducted a big user survey",,09:39:00
25/03/2026 10:33:31, Fidelity of Cloud Emulators: The Imitation Game of Testing Cloud-Based Software,Freddie,10.1109/ICSE55347.2025.00077,,2025,ICSE,"Cornell Univerisity, University of Illinois Urbana-Champaign, Microsoft",Cloud Software,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:37:00
25/03/2026 11:48:30,Formally Verified Cloud-Scale Authorization,Freddie,10.1109/ICSE55347.2025.00166,,2025,ICSE,"Amazon, Meta, Princeton University, University of Texas at Austin, McGill University, TU Wien, University of Melbourne, NTU Singapore, Purdue University",Cloud Authorisation,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,I suppose it makes sense for Amazon to not provide their tool,05:15:00
25/03/2026 11:51:09,SpecRover: Code Intent Extraction via LLMs,William,10.1109/ICSE55347.2025.00080,https://zenodo.org/records/13161651,2024,ICSE,National University of Singapore,Ai for comprehension,,Yes,Yes,https://doi.org/10.5281/zenodo.13161651,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Not necessary,Software is currently available,"Download, restapi",No,No,Yes,"No, but no clear constraints not to",,Yes,No: no datasets used,No: infeasible,,No,readme.md,No,No,No: program uses external libraries but are not referenced appropriately,No,,No,Inline comments,,Yes,Yes,,,11:10:00
25/03/2026 11:58:57,Unleashing the True Potential of Semantic-Based Log Parsing with Pre-Trained Language Models,William,10.1109/ICSE55347.2025.00174,https://zenodo.org/records/14753263,,ICSE,"The University of Newcastle,",Ai for program comprehension,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14753263,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Not necessary,Software is currently available,"Download, restapi",No,Yes,Yes,Infeasable,,Yes,Yes,No: infeasible,,Yes,very extensive readme.md containing a plurality of relev,Yes,Yes,Yes,Yes,"requirements.txt (pip), pyproject.toml",No,"Docstrings, Inline comments",,Yes,Yes,,,08:12:00
25/03/2026 13:04:39,NIODebugger: A Novel Approach to Repair Non-Idempotent-Outcome Tests with LLM-Based Agent,William,10.1109/ICSE55347.2025.00201,https://zenodo.org/records/14857610,2025,ICSE,University of Electronic Science and Technology of China,Ai for testing and QA,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14857610,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download, restapi",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,No,readme. md,Yes,No,Yes,Yes,,Yes,"Docstrings, Inline comments",Docker,Yes,Yes,,,07:56:00
25/03/2026 13:23:41,Metamorphic-Based Many-Objective Distillation of LLMs for Code-Related Tasks,William,10.1109/ICSE55347.2025.00230,https://zenodo.org/records/14857610,2025,ICSE,Delft University of Technology,Ai for testing and QA,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14857610,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/apanichella/morph-distillation,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download, restapi",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,No,readme.md,Yes,No,Yes,No,,Yes,Inline comments,Docker,Yes,Yes,,,14:10:00
25/03/2026 13:29:37,Faster Configuration Performance Bug Testing with Neural Dual-Level Prioritization,William,10.1109/ICSE55347.2025.00201,https://zenodo.org/records/14759408,2025,ICSE," University of Electronic Science and Technology of China,",Ai for testing and QA,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14759408,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Not necessary,Software is currently available,"Download, restapi",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,No,readme.md,Yes,No,Yes,No,requirements.txt (pip),No,Inline comments,Docker,Yes,Yes,,,06:07:00
26/03/2026 11:44:17,The Product Beyond the Model - An Empirical Study of Repositories of Open-Source ML Products,William,10.1109/ICSE55347.2025.00006,,2025,ICSE,Carnegie Mellon University,SE for AI,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:12:00
26/03/2026 11:53:51,Increasing the Effectiveness of Automatically Generated Tests by Improving Class Observability,William,10.1109/ICSE55347.2025.00156,,2025,ICSE,Centro de Investigación en Ciencias Exactas e Ingenierías,Testing and QA,,Yes,No,,Yes,Yes,Yes,No,No,No,https://github.com/EvoSuite/evosuite,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,Yes,"readme.txt,license.txt,",Yes,Yes,Yes,Yes,"requirements.txt (pip), pom.xml (Maven / Java)",Yes,"Docstrings, Inline comments",Docker,Yes,No,As the tool is relevant to multipul papers the tool documentation is not directly related to reproducing results from the paper,Tool mentioned in the paper is definitly available but is not directly related,08:21:00
26/03/2026 12:01:20,Invivo Fuzzing by Amplifying Actual Executions,William,10.1109/ICSE55347.2025.00172,https://github.com/OctavioGalland/afllive/tree/main,2025,ICSE,Canonical,testing and QA,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,No,,Yes,Yes,No,No,No,No,https://github.com/OctavioGalland/afllive/tree/main,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,Yes,,No,readme.md,Yes,Yes,Yes,No,,Yes,Inline comments,Docker,Yes,Yes,,"good replicaton package, missing some elements",05:20:00
26/03/2026 12:15:39,Towards High-Strength Combinatorial Interaction Testing for Highly Configurable Software Systems,William,10.1109/ICSE55347.2025.00113,https://github.com/chuanluocs/HSCA?tab=readme-ov-file,2025,ICSE,Beihang University,TEsting and QA,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14860398,Yes,Yes,Yes,Yes,Yes,No,"https://github.com/chuanluocs/HSCA/blob/main/INSTALL.md,https://zenodo.org/records/14860398",,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,Yes,"readme.md,install.md",Yes,No,Yes,No,requirements.txt (pip),No,Inline comments,Docker,Yes,Yes,,hard to find but good repositorys,12:50:00
26/03/2026 12:25:13,WDD: Weighted Delta Debugging,William,10.1109/ICSE55347.2025.00071,https://zenodo.org/records/14301983,2025,ICSE,University of Waterloo,Testing and QA,"Artefact Available, Artefact Functional",Yes,Yes,https://doi.org/10.5281/zenodo.14301983,Yes,Yes,Yes,Yes,Yes,Yes,,artifact is under the name of the paper ,Yes,Yes,No,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,Yes,,No,readme.md,Yes,No,Yes,No,MODULE.bazel,No,Inline comments,,Yes,Yes,,"good example, not sure why it diddnt get reproducable",07:31:00
26/03/2026 12:35:09,Topseed: Learning Seed Selection Strategies for Symbolic Execution from Scratch,William,10.1109/ICSE55347.2025.00095,https://zenodo.org/records/14890193,2025,ICSE,Sungkyunkwan University,Testing and QA,"Artefact Available, Artefact Functional",Yes,Yes,https://doi.org/10.5281/zenodo.14890193,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Not necessary,Software is currently available,"Download, restapi",No,Yes,Yes,"No, but no clear constraints not to",,Yes,No: no datasets used,No: infeasible,,No,readme.md,Yes,No,Yes,No,,No,Inline comments,Docker,Yes,Yes,,,06:43:00
26/03/2026 12:40:25,The Seeds of the Future Sprout from History: Fuzzing for Unveiling Vulnerabilities in Prospective Deep-Learning Libraries,William,10.1109/ICSE55347.2025.00132,https://github.com/Redempt1onzzZZ/FUTURE?tab=readme-ov-file,2025,ICSE,"Institute of Software, The Chinese Academy of Sciences",Ai for testing and qa,,Yes,No,,Yes,Yes,No,No,No,Yes,,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No but no clear constraints not to,,No,readme.md,No,No,No: program uses external libraries but are not referenced appropriately,No,,No,Inline comments,,Yes,Yes,,,05:20:00
26/03/2026 12:48:43,Between Lines of Code: Unraveling the Distinct Patterns of Machine and Human Programmers,William,10.1109/ICSE55347.2025.00005,https://github.com/YerbaPage/DetectCodeGPT?tab=readme-ov-file#usage,2025,ICSE,Shanghai Jiao Tong University,Human and social using AI,,Yes,No,,Yes,Yes,No,No,No,Yes,,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,,No,readme.md,Yes,Yes,Yes,Yes,requirements.txt (pip),No,"Docstrings, Inline comments",,Yes,Yes,,,05:51:00
